STORE,STORE_NAME,LABEL_NAME,ADDRESS,GEO_LATITUDE,GEO_LONGITUDE,OPEN_TIME,CLOSE_TIME
143,Минимаркет Кора 1,Минимаркет Кора,"652815, г. Осинники, ул. Ефимова, 10",53.59046,87.335991,8:00:00 AM,12:00:00 AM
145,Минимаркет Кора 3,Минимаркет Кора,"654025, г. Новокузнецк, ул. Дузенко, 41",53.797108,87.353175,8:00:00 AM,11:00:00 PM
147,Минимаркет Кора 5,Минимаркет Кора,"654007, г. Новокузнецк, Кузнецкстроевский пр-кт, 30а",53.763344,87.131696,8:00:00 AM,11:00:00 PM
148,ММ6 Новокузнецк Обнорского 19,Холди,"654034, г. Новокузнецк, ул. Обнорского, 19",53.775079,87.209184,8:00:00 AM,9:00:00 PM
149,Универсам Кора 1,Холидей Классик,"650060, г. Кемерово, б-р Строителей, 28",55.344853,86.167534,8:00:00 AM,12:00:00 AM
150,Универсам Кора 2,Универсам Кора,"650066, г. Кемерово, пр-кт Ленина, 64",55.344992,86.105344,8:00:00 AM,12:00:00 AM
151,Универсам Кора 4,Универсам Кора,"652500, г. Ленинск-Кузнецкий, пр. Кирова, 52",54.666786,86.167902,8:00:00 AM,11:00:00 PM
153,Универсам Кора 6,Универсам Кора,"650003, г. Кемерово, пр-кт Химиков, 39",55.343947,86.181413,8:00:00 AM,12:00:00 AM
154,Универсам Кора 7,Универсам Кора,"650055, г. Кемерово, ул. Сибиряков Гвардейцев, 18а",55.337696,86.071513,8:00:00 AM,12:00:00 AM
155,Универсам Кора 8,Универсам Кора,"654059, г. Новокузнецк, ул. Тореза, 95б",53.819338,87.156795,8:00:00 AM,12:00:00 AM
157,Универсам Кора 10,Универсам Кора,"652600, г. Белово, ул. Октябрьская, 33а",54.417693,86.299784,8:00:00 AM,11:00:00 PM
158,Холди-2,Холди,"652612, г. Белово, ул. Песчаная, 2а",54.405175,86.307312,8:00:00 AM,9:00:00 PM
159,Универсам Кора 12,Универсам Кора,"654011, г. Новокузнецк, пр-кт Авиаторов, 35а",53.899451,87.120458,8:00:00 AM,12:00:00 AM
160,Универсам Кора 14,Универсам Кора,"654084, г. Новокузнецк, пр-кт Шахтеров, 19а",53.780857,87.288245,8:00:00 AM,12:00:00 AM
161,Супермаркет Кора 1,Супермаркет Кора,"650023, г. Кемерово, пр-кт Ленина, 116",55.346164,86.149478,8:00:00 AM,12:00:00 AM
162,Супермаркет Кора 2,Супермаркет Кора,"650036, г. Кемерово, пр-кт Ленина, 90/1",55.345555,86.127783,8:00:00 AM,12:00:00 AM
